FeatureIndex	FileName	MSLevel	IsDecoy	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
226	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4457.725977	4460.510584	2	68.2534	69.3469	65.611	68.2534	49177.1	35494.5	1.61328e+06	4	7	4	0.898644	0.648879016310434	4855.36;8804.7;15633.4;19883.7	0;6704.59;7053.35;11876;7862.85;8568.96;0;3359.19;0;3752.13
227	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4332.065230	4334.778381	3	66.7114	67.3541	38.5618	66.7114	81782.2	35283.4	1.04234e+06	5	7	3	0.860308	0.542710606295279	36757.3;28254.8;16770.2	0;2152.76;15507.6;21190.2;15639.6;8744.04;4953.53;6903.2;3253.7;3437.6
228	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4130.557882	4133.155157	3	66.1331	67.0331	54.005	67.0331	78514.4	35229.7	1.3231e+06	4	7	3	0.866717	0.619830084065173	47499.4;22461.7;0;8553.3	0;3915.98;21966.8;19587.8;20887.7;3788.58;8367.55
229	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4776.336336	4779.324553	2	67.611	68.3178	42.4067	67.611	54270.4	35187.8	1.15071e+06	4	6	3	0.88359	0.376963129838084	6847.59;28340.2;19082.7	0;0;12683.9;16090.4;11686.4;6034.87;7774.85
230	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5912.954298	5916.615660	2	68.64	69.0257	23.1443	69.0257	49797.8	35148.2	576267	7	9	2	0.889861	0.488851527025915	35148.2;0;14649.6	0;0;7877.38;7966.27;11398.5;14554.6;3962.52;4038.47
231	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4104.658910	4107.244413	2	67.1615	68.0607	53.9511	67.1615	60148.2	34724.7	1.62253e+06	4	7	4	0.893012	0.529632558086989	15266.9;29963.8;6810.29;8107.24	4626.79;3824.08;12870.4;17798.6;13992.9;9873.36;1788.88
232	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5831.499222	5835.106308	2	68.3178	68.9614	38.6181	68.3178	57172.3	34571	1.10394e+06	7	8	2	0.882203	0.427234534241405	34003.3;23169	0;0;6935.31;10812.7;9524.73;12473;3796.9;3377.18;0;2766.27;4626.83;2859.34
233	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5147.768671	5150.974200	2	70.2479	70.6342	23.1811	70.2479	48190.2	34369.5	558551	7	9	3	0.880883	0.382841946072954	19976.9;23418.1;4795.26	0;0;10226;9969.63;6934.4;9916.62;2537.06;2500.66;2917.2;0;0;3188.68
234	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5071.579403	5074.745374	2	70.4412	71.1483	42.421	71.1483	53807.8	33874.3	1.14129e+06	7	7	1	0.871681	0.643138414145176	53807.8	0;2423.03;13935.8;7066.26;13426.5;14321.7;2634.48
235	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	6578.019702	6582.047249	2	67.1615	68.1891	61.6584	68.1891	64467.3	33711.3	1.98748e+06	8	10	3	0.869661	0.373300721425203	6984.94;22160.7;35321.7	0;0;3546.23;12186.5;12277.4;11165.5;16634.9;4492.26;0;0;4164.65
236	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4528.305576	4531.129273	2	69.6043	69.9905	23.169	69.9905	49973.3	33579.7	578916	4	7	4	0.853637	0.659187048259015	6777.3;12737;5085.96;25373	0;4679.31;12600;6820.54;17554.8;8318.62
237	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5678.912997	5682.430772	2	68.1891	69.0257	50.1966	68.1891	53765.2	33388.1	1.34941e+06	4	6	3	0.858719	0.36773216284031	5552.89;10361;37851.3	0;0;4797.11;11485.2;15734.9;11386.9;10361
238	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3557.841887	3560.012207	2	70.8912	71.6629	46.3018	70.8912	54027.8	33277.8	1.25079e+06	4	6	3	0.868127	0.525045456323009	33277.8;12143.3;8606.77	0;9359.92;12857.9;18796.6;10542.3;0;0;2471.17
239	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5843.587616	5847.211025	2	67.0331	67.4823	26.9503	67.0331	64193.2	33231.2	865012	6	9	3	0.891559	0.645955966526642	30962;0;17831.5;15399.8	0;0;10317.9;15224;9831.92;10730;15154.4;2934.91
240	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5699.234117	5702.768287	2	66.3256	66.7759	27.0153	66.7759	66067.6	33139.5	892417	7	8	2	0.883797	0.267780115976283	47156.5;18911	0;0;7580.07;17136.8;10790.1;9676.67;3523.69;3534.69;5320.42;2664.55;5840.69
241	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3555.057154	3557.227474	2	69.0257	69.669	38.5955	69.669	43199.2	33066.4	833647	3	5	3	0.855212	0.546982535805995	8582.53;24483.9;10132.7	0;6104.7;12483.8;10813.1;7464.11;0;0;6333.44
242	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	6470.854439	6474.831386	2	67.6753	68.8328	69.4477	67.6753	61674	32488.4	2.14156e+06	7	10	3	0.897246	0.398851861441824	29185.6;0;19628.5;12859.9	3681.9;3767.31;0;15347;13685.6;14361.5;8877.42;5635.19
243	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4866.518466	4869.569667	3	70.1835	71.4053	73.3078	71.341	93700	35254.3	2.26164e+06	5	6	2	0.86417	0.642115639270903	47958.5;45741.4	0;0;15529.8;24422.5;26231.6;18912.2;5266.29;3337.49
244	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4198.782463	4201.428364	2	68.0607	68.4468	23.1712	68.0607	52095	32195.6	603553	3	6	4	0.867052	0.450060947670305	7660.43;12239;19311.4;12884.2	0;6517.8;9188.37;18595.7;14006.3;0;3786.9
245	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4600.463338	4603.334810	2	67.8035	68.8973	65.6274	67.8035	48785.6	31970.9	1.60084e+06	5	7	3	0.867739	0.384005049032848	15161.7;16809.2;16814.7	0;0;14846;13094.9;9215.89;4530.18;0;2439.86;4658.84
246	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4435.419529	4438.192518	2	68.7684	68.9614	11.5807	68.9614	46562.3	31851.3	269612	6	7	2	0.851323	0.35034806067494	14964;31598.3	4199.5;0;9958.78;11171.1;12081.8;4628.28;4776.92;0;0;3945.41
247	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4746.065092	4749.038960	3	66.9688	67.7394	46.2338	67.7394	79668.9	31794.3	1.16068e+06	5	7	3	0.88113	0.752506267371654	31794.3;15961.7;31912.9	0;0;19033.7;28327;20051.3;8824;3432.82
