Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
54	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1360.222929	1359.399539	87424.1	1	1	2	0.950207	0.950207	1	0.489895	0.489895	0.269099	1	1360.407227	1361.353149	0.848280	0.848280	0
55	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	1439.517015	1438.597708	96757	1	1	2	0.94798	0.94798	1	0.41141	0.41141	1.52574	1	1439.607056	1440.605103	0.807473	0.807473	0.833991
56	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	1791.801712	1790.659804	103562	2	2	3	0.947679	0.947679	1	0.279602	0.279602	0.385714	2	896.336792	897.339478	0.834517	0.834517	0.833991
57	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1837.813377	1836.721291	104736	2	2	2	0.851573	0.851573	1	0.395365	0.395365	0.464632	2	919.368469	919.840942	0.400589	0.400589	0
58	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	1848.387099	1847.217438	75712.7	2	2	2	0.905682	0.905682	1	0.335347	0.335347	0.19798	2	924.616150	925.117004	0.684922	0.684922	0.836516
59	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	1885.660105	1884.478745	108430	2	2	2	0.903786	0.903786	1	0.696795	0.696795	0.388142	2	943.247009	943.747437	0.678468	0.678468	0.836516
60	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1935.763325	1934.610435	99071.1	2	2	3	0.938635	0.938635	1	0.357765	0.357765	1.32307	2	968.314331	969.257446	0.780203	0.780203	0
61	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1935.763325	1934.610435	99071.1	2	2	3	0.938635	0.938635	1	0.357765	0.357765	1.32307	2	968.314331	969.257446	0.780203	0.780203	0
62	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1942.492009	1941.328107	136814	2	2	2	0.868203	0.868203	1	1.30159	1.30159	0.722154	2	971.670776	972.145508	0.498464	0.498464	0
63	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1942.492009	1941.328107	136814	2	2	2	0.868203	0.868203	1	1.30159	1.30159	0.722154	2	971.670776	972.145508	0.498464	0.498464	0
64	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1942.492009	1941.328107	136814	2	2	2	0.868203	0.868203	1	1.30159	1.30159	0.722154	2	971.670776	972.145508	0.498464	0.498464	0
65	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1957.564816	1956.400913	76852.5	2	2	2	0.892655	0.892655	1	0.264011	0.264011	0.934757	2	979.208679	979.680176	0.588277	0.588277	0
66	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1957.564816	1956.400913	76852.5	2	2	2	0.892655	0.892655	1	0.264011	0.264011	0.934757	2	979.208679	979.680176	0.588277	0.588277	0
67	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2015.946828	2014.745996	159331	2	2	2	0.875161	0.875161	1	0.296336	0.296336	0.786664	2	1008.380981	1008.852722	0.505140	0.505140	0
68	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	2036.649801	2035.381280	92548.5	2	2	2	0.855567	0.855567	1	0.406017	0.406017	0.239571	2	1018.697754	1019.199463	0.431373	0.431373	0.933236
69	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	2045.152738	2043.940963	130232	2	2	2	0.881149	0.881149	1	0.662179	0.662179	1.13337	2	1022.978943	1023.449951	0.532386	0.532386	0
