Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
76	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2985.249488	2983.428981	342750	3	3	4	0.857154	0.857154	1	0.27104	0.27104	0.811517	3	995.484009	997.152588	0.409338	0.409338
77	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2995.285866	2993.451915	116235	3	3	3	0.914138	0.914138	1	0.332375	0.332375	3.44073	3	998.824158	999.488098	0.588876	0.588876
78	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	3148.021539	3146.078190	166755	2	2	3	0.864293	0.864293	1	1.53042	1.53042	0.955848	2	1574.546753	1575.548828	0.471656	0.471656
79	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4114.181264	4111.595761	207113	4	4	4	0.855542	0.855542	1	0.748982	0.748982	1.92638	4	1029.158569	1030.155884	0.367001	0.367001
80	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4345.220933	4342.496112	97871.8	5	5	3	0.881846	0.881846	1	0.134263	0.33396	1.80082	5	869.705750	870.106445	0.484463	0.484463
81	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4519.968599	4517.144901	640286	4	5	11	0.85661	0.715895	1	1.11303	1.19306	3.38493	5	904.440857	905.038879	0.275058	0.275058
82	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4684.555973	4681.622289	424791	3	3	6	0.90289	0.90289	1	2.06953	2.06953	1.04138	3	1561.881348	1563.885132	0.672500	0.672500
83	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4719.230665	4716.268686	241863	4	4	4	0.936279	0.936279	1	0.425843	1.15131	1.34409	4	1180.327393	1181.074951	0.766980	0.766980
84	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	4736.101086	4733.139107	137287	3	3	3	0.85462	0.85462	1	16.928	16.928	2.6021	3	1579.048340	1579.728516	0.437594	0.437594
85	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	5357.580388	5354.263572	95057.3	5	5	3	0.856217	0.856217	1	6.89615	6.89615	3.83229	5	1072.266113	1072.662476	0.355009	0.355009
86	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	5856.796043	5853.172635	230598	5	5	4	0.86284	0.86284	1	1.61813	1.61813	2.10886	5	1171.842896	1172.446167	0.413596	0.413596
87	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	6296.111415	6292.233646	203381	5	6	4	0.854367	0.702835	1	1.2004	1.99675	3.91251	6	1050.212769	1050.707764	0.241882	0.241882
